Rainfall,Year,Month,ISO3
64.7765,1991,Jan,AFG
59.4025,1991,Feb,AFG
119.625,1991,Mar,AFG
51.8025,1991,Apr,AFG
57.2438,1991,May,AFG
5.58788,1991,Jun,AFG
4.39142,1991,Jul,AFG
4.66582,1991,Aug,AFG
12.6348,1991,Sep,AFG
4.09568,1991,Oct,AFG
12.6671,1991,Nov,AFG
38.5569,1991,Dec,AFG
75.1985,1992,Jan,AFG
44.5805,1992,Feb,AFG
58.6092,1992,Mar,AFG
90.8628,1992,Apr,AFG
34.7664,1992,May,AFG
7.39691,1992,Jun,AFG
8.91189,1992,Jul,AFG
10.1698,1992,Aug,AFG
4.40101,1992,Sep,AFG
15.8779,1992,Oct,AFG
9.92092,1992,Nov,AFG
47.4604,1992,Dec,AFG
47.9213,1993,Jan,AFG
46.927,1993,Feb,AFG
67.092,1993,Mar,AFG
41.4273,1993,Apr,AFG
38.0458,1993,May,AFG
10.107,1993,Jun,AFG
7.88719,1993,Jul,AFG
4.32338,1993,Aug,AFG
3.47033,1993,Sep,AFG
7.6213,1993,Oct,AFG
21.5809,1993,Nov,AFG
20.6818,1993,Dec,AFG
50.3801,1994,Jan,AFG
43.8107,1994,Feb,AFG
74.9139,1994,Mar,AFG
35.9706,1994,Apr,AFG
25.9785,1994,May,AFG
7.26142,1994,Jun,AFG
17.0526,1994,Jul,AFG
7.61655,1994,Aug,AFG
8.43061,1994,Sep,AFG
21.0475,1994,Oct,AFG
12.8199,1994,Nov,AFG
36.94,1994,Dec,AFG
13.7274,1995,Jan,AFG
60.9835,1995,Feb,AFG
52.3526,1995,Mar,AFG
73.8204,1995,Apr,AFG
12.7629,1995,May,AFG
8.50095,1995,Jun,AFG
12.0852,1995,Jul,AFG
7.05167,1995,Aug,AFG
4.06235,1995,Sep,AFG
13.5896,1995,Oct,AFG
6.24458,1995,Nov,AFG
35.717,1995,Dec,AFG
41.9141,1996,Jan,AFG
54.8144,1996,Feb,AFG
93.2405,1996,Mar,AFG
44.8843,1996,Apr,AFG
27.5259,1996,May,AFG
10.1477,1996,Jun,AFG
5.44735,1996,Jul,AFG
9.23368,1996,Aug,AFG
2.67251,1996,Sep,AFG
14.7186,1996,Oct,AFG
9.68384,1996,Nov,AFG
6.71934,1996,Dec,AFG
34.3467,1997,Jan,AFG
15.9446,1997,Feb,AFG
72.1686,1997,Mar,AFG
71.109,1997,Apr,AFG
33.6543,1997,May,AFG
11.868,1997,Jun,AFG
9.95895,1997,Jul,AFG
6.03228,1997,Aug,AFG
2.43264,1997,Sep,AFG
24.3424,1997,Oct,AFG
15.7776,1997,Nov,AFG
33.6227,1997,Dec,AFG
65.6699,1998,Jan,AFG
79.4169,1998,Feb,AFG
60.623,1998,Mar,AFG
64.0368,1998,Apr,AFG
43.7065,1998,May,AFG
11.9479,1998,Jun,AFG
8.83775,1998,Jul,AFG
5.55621,1998,Aug,AFG
4.13159,1998,Sep,AFG
6.05833,1998,Oct,AFG
3.35615,1998,Nov,AFG
5.12023,1998,Dec,AFG
45.218,1999,Jan,AFG
64.4378,1999,Feb,AFG
67.7317,1999,Mar,AFG
27.8973,1999,Apr,AFG
11.3186,1999,May,AFG
4.20989,1999,Jun,AFG
14.4336,1999,Jul,AFG
5.87446,1999,Aug,AFG
6.12718,1999,Sep,AFG
3.42177,1999,Oct,AFG
40.0525,1999,Nov,AFG
4.54192,1999,Dec,AFG
37.8614,2000,Jan,AFG
33.8279,2000,Feb,AFG
31.507,2000,Mar,AFG
7.42546,2000,Apr,AFG
3.90986,2000,May,AFG
4.35128,2000,Jun,AFG
9.67761,2000,Jul,AFG
5.64205,2000,Aug,AFG
7.03612,2000,Sep,AFG
21.8608,2000,Oct,AFG
16.5423,2000,Nov,AFG
22.1704,2000,Dec,AFG
18.0513,2001,Jan,AFG
24.0815,2001,Feb,AFG
37.061,2001,Mar,AFG
19.1449,2001,Apr,AFG
6.86481,2001,May,AFG
10.3979,2001,Jun,AFG
10.122,2001,Jul,AFG
6.05264,2001,Aug,AFG
3.02941,2001,Sep,AFG
5.91485,2001,Oct,AFG
16.4592,2001,Nov,AFG
27.6653,2001,Dec,AFG
30.2343,2002,Jan,AFG
54.0856,2002,Feb,AFG
41.8525,2002,Mar,AFG
50.5211,2002,Apr,AFG
16.3633,2002,May,AFG
9.90821,2002,Jun,AFG
2.64574,2002,Jul,AFG
6.15613,2002,Aug,AFG
3.68139,2002,Sep,AFG
6.5459,2002,Oct,AFG
25.0684,2002,Nov,AFG
44.8059,2002,Dec,AFG
